latency,percentile
87233.8,0.01
194045,0.05
238211,0.1
319256,0.2
423804,0.3
514361,0.4
589060,0.5
658445,0.6
734192,0.7
820353,0.8
925771,0.9
1.00271e+06,0.95
1.05391e+06,0.97
1.16163e+06,0.99
1.21801e+06,0.995
1.31562e+06,0.999
latency,percentile
81.263,0.01
99.914,0.05
113.344,0.1
132.165,0.2
148.376,0.3
164.697,0.4
183.247,0.5
209.479,0.6
3438.43,0.7
63143.4,0.8
138068,0.9
199068,0.95
257188,0.97
338987,0.99
370926,0.995
437693,0.999
latency,percentile
83.393,0.01
103.904,0.05
118.425,0.1
139.355,0.2
159.736,0.3
182.357,0.4
221.889,0.5
443.789,0.6
949.3,0.7
24619.1,0.8
159420,0.9
252326,0.95
287136,0.97
337406,0.99
353318,0.995
437811,0.999
latency,percentile
79.363,0.01
96.324,0.05
108.804,0.1
126.045,0.2
140.056,0.3
154.586,0.4
170.067,0.5
189.138,0.6
226.129,0.7
1451.58,0.8
62069.9,0.9
135486,0.95
201957,0.97
274849,0.99
311217,0.995
349872,0.999
latency,percentile
78.803,0.01
95.284,0.05
107.334,0.1
123.775,0.2
136.835,0.3
149.896,0.4
163.737,0.5
178.957,0.6
200.368,0.7
2243.44,0.8
61969,0.9
139998,0.95
210769,0.97
277275,0.99
309248,0.995
353666,0.999
latency,percentile
76.543,0.01
91.914,0.05
103.404,0.1
119.135,0.2
131.535,0.3
143.996,0.4
157.416,0.5
172.127,0.6
192.678,0.7
1948.54,0.8
62579,0.9
139877,0.95
198197,0.97
254570,0.99
270976,0.995
302176,0.999
