
latency,percentile
98.404,0.01
136.385,0.05
152.306,0.1
165.547,0.2
176.337,0.3
186.708,0.4
196.988,0.5
207.319,0.6
218.359,0.7
237.43,0.8
41704.8,0.9
114365,0.95
160175,0.97
247487,0.99
267314,0.995
294046,0.999
latency,percentile
101.844,0.01
141.216,0.05
153.946,0.1
166.507,0.2
176.877,0.3
186.807,0.4
196.628,0.5
206.518,0.6
217.039,0.7
231.769,0.8
27245.5,0.9
95555.5,0.95
136952,0.97
227262,0.99
256047,0.995
313660,0.999
latency,percentile
98.254,0.01
135.885,0.05
151.846,0.1
164.677,0.2
174.857,0.3
184.568,0.4
194.148,0.5
203.728,0.6
213.569,0.7
225.399,0.8
3156.17,0.9
42959.2,0.95
76511.6,0.97
155621,0.99
229630,0.995
290176,0.999
latency,percentile
98.254,0.01
136.206,0.05
151.746,0.1
164.657,0.2
175.107,0.3
185.128,0.4
195.028,0.5
204.939,0.6
215.269,0.7
229.38,0.8
22819.9,0.9
87156.7,0.95
130639,0.97
233884,0.99
261632,0.995
289801,0.999
