latency,percentile
213537,0.01
297343,0.05
351860,0.1
421072,0.2
475721,0.3
531198,0.4
589521,0.5
645842,0.6
703446,0.7
775930,0.8
870642,0.9
934028,0.95
966342,0.97
1.02219e+06,0.99
1.05038e+06,0.995
1.09219e+06,0.999
latency,percentile
139.956,0.01
148.456,0.05
154.086,0.1
163.047,0.2
171.447,0.3
179.677,0.4
187.808,0.5
195.888,0.6
204.178,0.7
213.729,0.8
2404.95,0.9
38377,0.95
64428.6,0.97
116019,0.99
129283,0.995
142715,0.999
latency,percentile
134.355,0.01
141.916,0.05
146.996,0.1
155.326,0.2
163.226,0.3
170.977,0.4
178.637,0.5
186.257,0.6
193.968,0.7
202.548,0.8
231.749,0.9
32844.7,0.95
57470.2,0.97
117528,0.99
133397,0.995
151650,0.999
latency,percentile
133.825,0.01
141.376,0.05
146.396,0.1
154.646,0.2
162.457,0.3
170.127,0.4
177.687,0.5
185.208,0.6
192.818,0.7
201.168,0.8
219.259,0.9
27487.5,0.95
49490.8,0.97
114331,0.99
134146,0.995
158441,0.999
latency,percentile
133.845,0.01
141.176,0.05
146.166,0.1
154.476,0.2
162.387,0.3
170.127,0.4
177.777,0.5
185.387,0.6
193.088,0.7
201.658,0.8
577.134,0.9
32486.2,0.95
56929,0.97
113768,0.99
132406,0.995
155408,0.999
latency,percentile
113.505,0.01
124.075,0.05
129.246,0.1
137.676,0.2
145.606,0.3
153.217,0.4
160.567,0.5
167.757,0.6
175.137,0.7
185.078,0.8
230.92,0.9
30604.8,0.95
60691.9,0.97
114401,0.99
129415,0.995
147646,0.999
latency,percentile
117.285,0.01
129.195,0.05
134.915,0.1
143.716,0.2
151.826,0.3
159.626,0.4
167.137,0.5
174.487,0.6
182.037,0.7
191.358,0.8
219.199,0.9
13237.7,0.95
38934.9,0.97
114909,0.99
137457,0.995
177777,0.999
latency,percentile
112.545,0.01
124.845,0.05
130.126,0.1
138.606,0.2
146.566,0.3
154.216,0.4
161.597,0.5
168.807,0.6
176.177,0.7
185.668,0.8
222.33,0.9
28051.1,0.95
59626.3,0.97
117315,0.99
131319,0.995
148545,0.999
latency,percentile
119.405,0.01
130.255,0.05
136.076,0.1
145.156,0.2
153.566,0.3
161.627,0.4
169.407,0.5
177.047,0.6
185.128,0.7
196.498,0.8
290.613,0.9
31106.8,0.95
60688,0.97
115196,0.99
128718,0.995
146541,0.999
